Position,Artist,Song Title,Year,Lyrics
26,Snow,Informer,1993,"Informer

You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane

A licky boom-boom down
Police-a them-a they come and-a they blow down me door
One him come crawl through through my window
So they put me in the back of the car at the station
From that point on I reach my destination
Now the destination reached was the East Detention

Where they whipped down my pants and looked up my bottom
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane

A licky boom-boom down
The bigger they are they think they have more power
They're on the phone me say that on hour
Me for want to use it once to call my lover
Lover who I'm gonna call is the one Tammy
I love her from my heart down to my belly
Yes Daddy Snow, I'm the coolest daddy
The one MC Shan and the one that is Snow

Together we are like a tornado
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane

A licky boom-boom down
Listen for me ya better listen for me now
Listen for me ya better listen for me now
When I rock the microphone, I rock it steady
Yes sir Daddy Snow me are the Article Don
When I'm at a dance they say, ""Where you come from?""
People then say I come from Jamaica
But I'm born and raised in the ghetto
That's all I want you to know
Pure black people man that's all I man know
My shoes used to tear up and my toes used to show

Where I'm born is the one Toronto, so
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane

A licky boom-boom down
Come with a nice young lady
Intelligent, yes she's gentle and irie
Everywhere I go I've never left here at all
Yes, me Snow roam the dance
Roam the dance in every nation
You'd never know, me Daddy Snow
I am the Boom Shakata
I'll never lay down flat in one cardboard box

Yes, me Daddy Snow I'm gonna reach to the top, so
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane

A licky boom-boom down
Why would he? Me sitting round cool with my dibby dibby girl
Police knock my door, lick up my pal
Rough me up and I can't do a thing
Pick up my line when my telephone ring
Take me to the station, black up my hands
Trail me down 'cause I'm hanging with the Snowman
What am I gonna do, I'm black and I'm trapped
Smack me in my face, took all of my gap
They have no clues and they wanna get warmer

But Shan won't turn informer
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy Snow me, I'm gonna blame
A licky boom-boom down
'Tective man says Daddy Snow stabbed someone down the lane
A licky boom-boom down"
27,Take That,Back For Good,1995,"I guess now it's time for me to give up
I feel it's time
Got a picture of you beside me
Got your lipstick mark still on your coffee cup, oh yeah
Got a fist of pure emotion, got a head of shattered dreams
Gotta leave it, gotta leave it all behind now

Whatever I said, whatever I did I didn't mean it
I just want you back for good
Want you back, want you back, want you back for good
Whenever I'm wrong, just tell me the song and I'll sing it
You'll be right and understood
Want you back, want you back, I want you back for good

Unaware but underlined I figured out this story
Wasn't good
But in the corner of my mind I celebrated glory
But that was not to be
In the twist of separation you excelled at being free
Can't you find a little room inside for me?

Whatever I said, whatever I did I didn't mean it
I just want you back for good
Want you back, want you back, see I want you back for good
Whenever I'm wrong, just tell me the song and I'll sing it
You'll be right and understood
Want you back, want you back, I want you back for good

And we'll be together, this time is forever
We'll be fighting and forever we will be
So complete in our love
We will never be uncovered again

Whatever I said, whatever I did I didn't mean it
I just want you back for good
Want you back, want you back, want you back for good
Whenever I'm wrong, just tell me the song and I'll sing it
You'll be right and understood
Want you back, want you back, see I want you back for good

Whatever I said, whatever I did I didn't mean it
I just want you back for good
Want you back, want you back, I want you back for good
Whenever I'm wrong, just tell me the song and I'll sing it
You'll be right and understood
I want you back, I want you back, see I want you back for good

Oh yeah
I guess now it's time that you came back for good"
28,Aqua,Barbie Girl,1997,"Hi Barbie
Hi Ken!
Do you wanna go for a ride?
Sure Ken!
Jump in...

I'm a Barbie girl, in the Barbie world
Life in plastic, it's fantastic!
You can brush my hair, undress me everywhere
Imagination, life is your creation

Come on Barbie, let's go party!

I'm a Barbie girl, in the Barbie world
Life in plastic, it's fantastic!

You can brush my hair, undress me everywhere
Imagination, life is your creation

I'm a blond bimbo girl, in a fantasy world
Dress me up, make it tight, I'm your dolly
You're my doll, rock'n'roll, feel the glamour in pink
Kiss me here, touch me there, hanky panky...
You can touch, you can play, if you say: ""I'm always yours""
(uu-oooh-u) I'm a Barbie girl, in the Barbie world
Life in plastic, it's fantastic!
You can brush my hair, undress me everywhere
Imagination, life is your creation
Come on Barbie, let's go party!
(Ah-ah-ah-yeah)
Come on Barbie, let's go party!
(uu-oooh-u) Come on Barbie, let's go party!
(Ah-ah-ah-yeah)
Come on Barbie, let's go party!
(uu-oooh-u) Make me walk, make me talk, do whatever you please
I can act like a star, I can beg on my knees
Come jump in, bimbo friend, let us do it again
Hit the town, fool around, let's go party
You can touch, you can play, if you say: ""I'm always yours""
You can touch, you can play, if you say: ""I'm always yours""
Come on Barbie, let's go party!
(Ah-ah-ah-yeah)
Come on Barbie, let's go party!
(uu-oooh-u) Come on Barbie, let's go party!
(Ah-ah-ah-yeah)
Come on Barbie, let's go party!
(uu-oooh-u) I'm a Barbie girl, in the Barbie world
Life in plastic, it's fantastic!
You can brush my hair, undress me everywhere
Imagination, life is your creation
I'm a Barbie girl, in the Barbie world
Life in plastic, it's fantastic!
You can brush my hair, undress me everywhere
Imagination, life is your creation
Come on Barbie, let's go party!
(Ah-ah-ah-yeah)
Come on Barbie, let's go party!
(uu-oooh-u) Come on Barbie, let's go party!
(Ah-ah-ah-yeah)
Come on Barbie, let's go party!
(uu-oooh-u) Oh, I'm having so much fun!
Well Barbie, we're just getting started
Oh, I love you Ken!"
29,Ace of Base,All That She Wants,1993,"She leads a lonely life
She leads a lonely life

When she woke up late in the morning light
And the day had just begun
She opened up her eyes and thought
""Oh, what a morning""

It's not a day for work
It's a day for catching tan
Just lying on the beach and having fun
She's going to get you

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

So if you are in sight and the day is right
She's the hunter you're the fox
The gentle voice that talks to you
Won't talk forever

It is a night for passion
But the morning means goodbye
Beware of what is flashing in her eyes
She's going to get you

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants is another baby
She's gone tomorrow, boy
All that she wants is another baby, yea

All that she wants
All that she wants"
30,Michael Jackson,Black Or White,1991,"I took my baby
On a Saturday Bang
Boy, is that girl with you?
Yes we're one and the same

Now I believe in miracles
And a miracle
Has happened tonight

But, if
You're thinkin' about my baby
It don't matter if you're
Black or white

They print my message
In the 'Saturday Sun'
I had to tell them
I ain't second to none

And I told about equality
An' it's true
Either you're wrong
Or you're right

But, if
You're thinkin' about my baby
It don't matter if you're
Black or white

Don't depend

I am tired of this Devil
I am tired of this stuff
I am tired of this business
Goin' when they going to gets rough
I ain't scared of your brother
I ain't scared of no sheets
I ain't scare of nobody
Girl when the goin' gets mean

Protection
For gangs, clubs and nations
Causing grief in human relations
It's a turf war on a global scale
I'd rather hear both sides of the tale
See, it's not about races, just places, faces
Where your blood comes from
Is where your space is
I've seen the light get duller
I'm not going to spend
My life being a color

Don't tell me you agree with me
When I saw you
Kicking dirt in my eye

But, if
You're thinkin' about my baby
It don't matter if you're
Black or white

I said if
You're thinkin' of bein' my baby
It don't matter if you're
Black or white

I said if
You're thinkin' of being my brother
It don't matter if you're
Black or white

No, no, alright
Alright
Yeah, yeah, yeah now
Alright, alright
Jump on, don't
Yeah, yeah, yeah now
Alright

It's black, it's white
It's tough for you to get by
It's black, it's white
It's black, it's white
It's tough for you to get by
It's black, it's white"
31,TLC,No Scrubs,1999,"A scrub is a guy that think he's fine and is
Also known as a buster (buster, buster)
Always talkin' about what he wants
And just sits on his broke ass
So

No, I don't want your number (no)
I don't want to give you mine and (no)
I don't want to meet you nowhere (no)
Don't want none of your time and

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me

But a scrub is checkin' me but his game is kinda weak
And I know that he cannot approach me
'Cause I'm lookin' like class and he's lookin' like trash
Can't get wit' no deadbeat ass
So (yeah, yeah)

No, I don't want your number (no)
I don't want to give you mine and (no)
I don't want to meet you nowhere (no)
I don't want none of your time

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me

If you don't have a car and you're walking
Oh yea son I'm talking to you
If you live at home wit' your momma
Oh yes son I'm talking to you (baby)
If you have a shorty but you don't show love
Oh yes son I'm talking to you
Wanna get with me with no money
Oh no I don't want no (oh)

(No) no scrub
(Scrub)(no love)
(No) no scrub
(Scrub) no no
(No) no scrub
(Scrub) no no no no (no)
(Scrub) no no

No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me

See, if you can't spatially expand my horizons
Then that leaves you in a class with scrubs never risin'
I don't find it surprisin' if you don't have the g's
To please me and bounce from here to the coast of overseas
So, let me give you somethin' to think about
Inundate your mind with intentions to turn you out
Can't forget the focus on the picture in front of me
You as clear as DVD on digital TV screen
Satisfy my appetite with something spectacular
Check your vernacular and then I get back to ya
With diamond like precision, insatiable is what I envision
Can't detect acquisition from your friend's expedition
Mr. Big Willy if you really wanna know
Ask Chilli, could I be a silly ho
Not really, T-Boz and all my señoritas
Is steppin' on your Filas but you don't hear me though
No, I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side
Of his best friend's ride
Trying to holler at me
I don't want no scrub
A scrub is a guy that can't get no love from me
Hanging out the passenger side..."
32,Meat Loaf,I'd Do Anything For Love (But I Won't Do That),1993,"And I would do anything for love
I'd run right into hell and back
I would do anything for love
I'll never lie to you and that's a fact
But I'll never forget the way you feel right now
Oh no, no way.
And I would do anything for love

But I won't do that
No I won't do that
Anything for love
Oh I would do anything for love

I would do anything for love
But I won't do that
No I won't do that
And some days, it don't come easy
And some days it don't come hard
Some days it don't come at all
And these are the days that never end
And some nights you're breathing fire

And some nights you're carved in ice
Some nights you're like nothing I've ever seen before

Or will again
And maybe I'm crazy

Oh it's crazy and it's true
I know you can save me

No one else can save me now but you
As long as the planets are turning
As long as the stars are burning
As long as your dreams are coming true
You better believe it

That I would do anything for love
I'll be there till the final act
And I would do anything for love!
And I'll take the vow and seal a pact

But I'll never forgive myself if we don't go all the way

Tonight
And I would do anything for love

Oh I would do anything for love

Oh I would do anything for love
But I won't do that
No I wont do that
I would do anything for love
Anything you've been dreaming of
But I just won't do that

I would do anything for love
Anything you've been dreaming of

But I just won't do that
I would do anything for love

Anything you've been dreaming of
But I just won't do that

And somedays I pray for silence
And somedays I pray for soul
Somedays I just pray to the God of Sex and Drums and Rock 'N Roll.

And some nights I lose the feeling
And some nights I lose control
Some nights I just lose it all when I watch you dance and the thunder rolls
And maybe I'm lonely
That's all I'm qualified to be

There's just one and only
The one and only promise I can keep
As long as the wheels are turning
As long as the fires burning

As long as your prayers are coming true
You better believe it

That I would do anything for love
And you know it's true and that's a fact

And I would do anything for love
And there'll never be no turning back
But I'll never do it better then I do it with you

So long
So long
And I would do anything for love
Oh I would do anything for love
I would do anything for love
But I won't do that
No, no, no I won't do...

I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
I would do anything for love
Anything you've been dreaming of
But I just wont do that
But I'll never stop dreaming of you every night of my life
No way
And I would do anything for love
Oh I would do anything for love
Oh I would do anything for love
But I won't do that
No I won't do that
Will you raise me up?
Will you help me down?
Will you get me right out of this Godforsaken town?
Will you make it all a little less cold?
I can do that!
Oh I can do that!
Will you hold me sacred?
Will you hold me tight?
Can you colorize my life I'm so sick of black and white?
Can you make it all a little less old?
I can do that
Oh oh now i can do that
Will you make me some magic with your own two hands?
Can you build an emerald city with these grains of sand?
Can you give me something I can take home?
Now I can do that
Oh now I can do that
Will you cater to every fantasy I got?
Will you hose me down with holy water, if I get too hot! (HOT)?
Will you take me places I've never known?
Now I can do that
Oh, oh now I can do that!
After a while to forget everything
It was a brief interlude and a midsummer night's fling
And you'll see that its time to move on
I won't do that
I won't do that
I know the territory
I've been around
It'll all turn to dust
And we'll all fall down
And sooner or later you'll be screwing around
I won't do that!
No, I won't do that!
Anything for love
Oh I would do anything for love
I would do anything for love
But I won't do that
No I won't do that"
33,Bryan Adams,All For Love,1994,"When it's love you give
(I'll be a man of good faith)
Then in love you live
(I'll make a stand, I won't break)

I'll be the rock you can build on
Be there when you're old
To have and to hold

When there's love inside
(I swear I'll always be strong)
Then there's a reason why
(I'll prove to you we belong)

I'll be the wall that protects you
From the wind and the rain
From the hurt and pain

Let's make it all for one and all for love
Let the one you hold be the one you want
The one you need

'Cause when it's all for one it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love

When it's love you make
(I'll be the fire in your night)
Then it's love you take
(I will defend, I will fight)

I'll be there when you need me
When honor's at stake
This vow I will make

That it's all for one and all for love
Let the one be the one you want
The one you need

'Cause when it's all for one it's one for all
When there's someone that should know
Then just let your feelings show
And make it all for one and all for love

Don't lay our love to rest
'Cause we could stand up to you test
We got everything and more than we had planned
More than the rivers that run the land
We've got it all in our hands

Now it's all for one and all for love
(It's all for love)
Let the one you hold be the one you want
The one you need

'Cause when it's all for one, it's one for all
(It's one for all)
When there's someone that should know
Then just let your feelings show

When there's someone that you want
When there's someone that you need
Let's make it all, all for one and all for love"
34,Eiffel 65,Blue (Da Ba Dee),1999,"Eiffel 65
Europop
Blue [da Ba Dee]
yo listen up
Here's the story about a little guy that lives in a blue world
And all day and all night and everything he sees is just blue like him
Indside and outside
Blue his house with the blue little window and a blue corvette
And everything is blue for him and his-self
And everybody around cuz he ain't got nobody to listen.

I'm blue da ba dee da ba di  da ba dee da ba di da d ba dee da ba di da ba dee
Da ba di  da ba dee da ba di da (repeat once)

I have a blue house with a blue window
Blue is the color i bought that i wear
Blue are the trees and now the trees are too
I have a girlfriend and she is so blue
Blue are the people here that walk around
Blue like my corvette it's standing outside
Blue are the words are say and what i think
Blue are the feelings that live inside me.

I'm blue da ba dee da ba di  da ba dee da ba di da d ba dee da ba di da ba dee
Da ba di  da ba dee da ba di da (repeat twice)

Indside and outside
Blue his house with the blue little window and a blue corvette
And everything is blue for him and his-self
And everybody around cuz he ain't got nobody to listen.

I'm blue da ba dee da ba di  da ba dee da ba di da ba dee da ba di da ba dee da
Ba di	da ba dee da ba di da (repeat til end)"
35,Londonbeat,I've Been Thinking About You,1990,"We must have been stone crazy
When we thought we were just friends
'Cause I miss you, baby
And I've got those feelings again
I guess I'm all confused about you
I feel so in love
Oh, baby, what can I do?

I've been thinking about you
I've been thinking about you
I've been thinking about you
I've been thinking about you, shi-pow-pow

Suddenly we're strangers
I watch you walking away
She was my one temptation
Oh, I did not want her to stay
Deep down, I'm still confused about you
I feel so in love
Oh, baby, what can I do?

I've been thinking about you
I've been thinking about you
I've been thinking about you
I've been thinking about you, shi-pow-pow

What good is being here without you?
I feel so in love
Oh, baby, what can I do?

I've been thinking about you
I've been thinking about you
I've been thinking about you
I've been thinking about you
Oh yeah
I've been thinking about you
Got you on my mind
I've been thinking about you
I've been thinking about you
I've been thinking about you
I've been thinking about you

Think about you babe
Think about, think about you babe
Think about, think about
Oh oh oh baby
Think about

I've been thinking about you
I've been thinking about you
I've been thinking about you
thinking about you

I've been thinking about you
I've been thinking about you
I've been thinking about you
thinking about you

I've been thinking about you
I've been thinking about you
I've been thinking about you
thinking about you"
36,Nirvana,Smells Like Teen Spirit,1992,"Load up on guns and bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us

A mulatto, an albino
A mosquito, my libido
Yeah, hey, yay

I'm worse at what I do best
And for this gift I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us

A mulatto, an albino
A mosquito, my libido
Yeah, hey, yay

And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, nevermind

Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us

A mulatto, an albino
A mosquito, my libido

A denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial"
37,Boyz II Men,I'll Make Love to You,1994,"BoyZ II Men
Close your eyes, make a wish
And blow out the candlelight
For tonight is just your night
We're gonna celebrate, all through the night
Pour the wine, light the fire
Girl your wish is my command
my submit to your demands

I will do anything, girl you need only ask
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go

'Till you tell me to
Girl relax, let's go slow
I ain't got nowhere to go
I'm just gon' concentrate on you
Girl are you ready, it's gon' be a long night
Throw your clothes on the floor
I'm gonna take my clothes off too
I've made plans to be with you

Girl whatever you ask me, you know I can do
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go

'Till you tell me to
Baby tonight is your night
And I will do you right
Just make a wish on your night
Anything that you ask

I will give you the love of your life, your life, your life
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go

'Till you tell me to
I'll make love to you
Like you want me to
And I'll hold you tight
Baby all through the night
I'll make love to you
When you want me to
And I will not let go
'Till you tell me to"
38,Mariah Carey,Without You,1994,"No I can't forget this evenin'
Or your face as you were leaving
But I guess that's just the way
The story goes

You always smile
But in your eyes
Your sorrow shows
Yes it shows

No I can't forget tomorrow
When I think of all my sorrow
When I had you there
But then I let you go

And now it's only fair
That I should let you know
What you should know

I can't live
If livin' is without you
I can't give
I can't give any more

I can't live
If livin' is without you
I can't live
I can't give any more

Well I can't forget this evenin'
Or your face as you were leaving
But I guess that's just the way
The story goes

You always smile
But in your eyes
Your sorrow shows
Yes, it shows

I can't live
If livin' is without you
I can't live
I can't give any more

I can't live
If livin' is without you
I can't live
I can't give any more

(No, I can't live)
  (No, I can't live)
Nooo I
No no no no I
I can't live
  (No, I can't live)
If livin' is without you

 (No, I can't live)
I can't live
I can't give any more
I can't live
  (No, I can't live)"
39,Vanilla Ice,Ice Ice Baby,1990,"Yo, VIP, Let's kick it! 

Ice Ice Baby, Ice Ice Baby 
All right stop, Collaborate and listen 
Ice is back with my brand new invention 
Something grabs a hold of me tightly 
Then I flow like a harpoon daily and nightly 
Will it ever stop? Yo -- I don't know 
Turn off the lights and I'll glow 
To the extreme I rock a mic like a vandal 
Light up a stage and wax a chump like a candle. 

Dance, Bum rush the speaker that booms 
I'm killing your brain like a poisonous mushroom 
Deadly, when I play a dope melody 
Anything less than the best is a felony 
Love it or leave it, You better gain way 
You better hit bull's eye, The kid don't play 
If there was a problem, Yo, I'll solve it 
Check out the hook while my DJ revolves it 

Ice Ice Baby Vanilla, Ice Ice Baby Vanilla 
Ice Ice Baby Vanilla, Ice Ice Baby Vanilla 

Now that the party is jumping 
With the bass kicked in, the Vegas are pumpin' 
Quick to the point, to the point no faking 
I'm cooking MCs like a pound of bacon 
Burning them if they're not quick and nimble 
I go crazy when I hear a cymbal 
And a hi hat with a souped up tempo 
I'm on a roll and it's time to go solo 
Rollin' in my 5.0 
With my ragtop down so my hair can blow 
The girlies on standby, Waving just to say Hi 
Did you stop? No -- I just drove by 
Kept on pursuing to the next stop 
I busted a left and I'm heading to the next block 
That block was dead 

Yo -- so I continued to A1A Beachfront Ave. 
Girls were hot wearing less than bikinis 
Rockman lovers driving Lamborghinis 
Jealous 'cause I'm out geting mine 
Shay with a gauge and Vanilla with a nine 
Reading for the chumps on the wall 
The chumps acting ill because they're so full of ""Eight Ball"" 
Gunshots ranged out like a bell 
I grabbed my nine -- All I heard were shells 
Falling on the concrete real fast 
Jumped in my car, slammed on the gas 
Bumper to bumper the avenue's packed 
I'm trying to get away before the jackers jack 
Police on the scene, You know what I mean 
They passed me up, confronted all the dope fiends 
If there was a problem, You, I'll solve it 
Check out the hook while my DJ revolves it 

Ice Ice Baby Vanilla, Ice Ice Baby Vanilla 
Ice Ice Baby Vanilla, Ice Ice Baby Vanilla 

Take heed, 'cause I'm a lyrical poet 
Miami's on the scene just in case you didn't know it 
My town, that created all the bass sound 
Enough to shake and kick holes in the ground 
'Cause my style's like a chemical spill 
Feasible rhymes that you can vision and feel 
Conducted and formed, This is a hell of a concept 
We make it hype and you want to step with this 
Shay plays on the fade, slice like a ninja 
Cut like a razor blade so fast, Other DJs say, ""damn"" 
If my rhyme was a drug, I'd sell it by the gram 
Keep my composure when it's time to get loose 
Magnetized by the mic while I kick my juice 
If there was a problem, Yo -- I'll solve it! 
Check out the hook while Deshay revolves it. 

Ice Ice Baby Vanilla, Ice Ice Baby Vanilla 
Ice Ice Baby Vanilla, Ice Ice Baby Vanilla 

Yo man - Let's get out of here! Word to your mother! 

Ice Ice Baby Too cold, Ice Ice Baby Too cold Too cold 
Ice Ice Baby Too cold Too cold, Ice Ice Baby Too cold Too cold"
40,R Kelly,I Believe I Can Fly,1997,"I used to think that I could not go on
And life was nothing but an awful song
But now I know the meanin' of true love
I'm leanin' on the everlasting arms

If I can see it then I can do it
If I just believe it, there's nothing to it

I believe I can fly
I believe I can touch the sky
I think about it every night and day
Spread my wings and fly away
I believe I can soar
I see me running through that open door
I believe I can fly, I believe I can fly
I believe I can fly

See I was on the verge of breakin' down
Sometimes silence can seem so loud
There are miracles in life I must achieve
But first I know it starts inside of me oh

If I can see it then I can be it
If I just believe it, there's nothing to it

I believe I can fly
I believe I can touch the sky
I think about it every night and day
Spread my wings and fly away
I believe I can soar
I see me runnin' through that open door
I believe I can fly, I believe I can fly
I believe I can fly

Hey 'cuz I believe in me
If I can see it then I can do it
If I just believe it, there's nothing to it

I believe I can fly
I believe I can touch the sky
I think about it every night and day
Spread my wings and fly away
I believe I can soar
I see me runnin' through that open door
I believe I can fly, I believe I can fly
I believe I can fly

Hey if I just spread my wings
I can fly
I can fly
I can fly, hey
If I just spread my wings
I can fly
Fly eye, eye"
41,Mariah Carey,One Sweet Day,1995,"Sorry, I never told you
All I wanted to say
Now it's too late to hold you
'Cause you've flown away
So far away

Never, had I imagined
To living without your smile
Feelin' and knowing you hear me
It keeps me alive
Alive

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together
One sweet day

Picture a little scene from Heaven

Darling, I never showed you
Assumed you'd always be there
I took your presence for granted
But I always cared
And I miss the love we shared

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together
One sweet day

Picture a little scene from Heaven

Although the sun will never shine the same
I'll always look to a brighter day
Yeah Lord, I know when I lay me down to sleep
You'll always listen as I pray

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together
One sweet day

And I know you're shining down on me from Heaven
Like so many friends we've lost along the way
And I know eventually we'll be together
One sweet day

Sorry, I never told you
All I wanted to say"
42,Bryan Adams,Have You Ever Really Loved a Woman?,1995,"To really love a woman
To understand her
You gotta know her deep inside
Hear every thought, see every dream
An' give her wings, when she wants to fly

Then when you find yourself lyin' helpless in her arms
You know, you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one

She needs somebody to tell her
That it's gonna last forever
So tell me have you ever really
Really, really, ever loved a woman, yeah

To really love a woman
Let her hold you
Till you know how she needs to be touched
You've gotta breathe her, really taste her
Till you can feel her in your blood

An' when you can see your unborn children in her eyes
You know, you really love a woman

When you love a woman
You tell her that she's really wanted
When you love a woman
You tell her that she's the one

She needs somebody to tell her
That you'll always be together
So tell me have you ever really
Really, really, ever loved a woman, oh

You got to give her some faith, hold her tight
A little tenderness, gotta treat her right
She will be there for you, takin' good care of you
You really gotta love your woman, yeah

Then when you find yourself lyin' helpless in her arms
You know, you really love a woman

When you love a woman you tell her
That she's really wanted
When you love a woman
You tell her that she's the one

She needs somebody to tell her
That it's gonna last forever
So tell me have you ever really
Really, really, ever loved a woman, yeah

Just tell me have you ever really
Really, really, ever loved a woman, oh
Just tell me have you ever really
Really, really, ever loved a woman"
